"1816" "1817" "1818" "1819" "1820" "1821" "1822" "1823" "1824" "1825" "1826" "1827" "1828" "1829" "1830" "1831" "1832" "1833" "1834" "1835" "1836" "1837" "1838" "1839" "1840" "1841" "1842" "1843" "1844" "1845" "1846" "1847" "1848" "1849" "1850" "1851" "1852" "1853" "1854" "1855" "1856" "1857" "1858" "1859" "1860" "1861" "1862" "1863" "1864" "1865" "1866" "1867" "1868" "1869" "1870" "1871" "1872" "1873" "1874" "1875" "1876" "1877" "1878" "1879" "1880" "1881" "1882" "1883" "1884" "1885" "1886" "1887" "1888" "1889" "1890" "1891" "1892" "1893" "1894" "1895" "1896" "1897" "1898" "1899" "1900" "1901" "1902" "1903" "1904" "1905" "1906" "1907" "1908" "1909" "1910" "1911" "1912" "1913" "1914" "1915" "1916" "1917" "1918" "1919" "1920" "1921" "1922" "1923" "1924" "1925" "1926" "1927" "1928" "1929" "1930" "1931" "1932" "1933" "1934" "1935" "1936" "1937" "1938" "1939" "1940" "1941" "1942" "1943" "1944" "1945" "1946" "1947" "1948" "1949" "1950" "1951" "1952" "1953" "1954" "1955" "1956" "1957" "1958" "1959" "1960" "1961" "1962" "1963" "1964" "1965" "1966" "1967" "1968" "1969" "1970" "1971" "1972" "1973" "1974" "1975" "1976" "1977" "1978" "1979" "1980" "1981" "1982" "1983" "1984" "1985" "1986" "1987" "1988" "1989" "1990" "1991" "1992" "1993" "1994" "1995" "1996" "1997" "1998" "1999" "2000" "2001" "2002" "2003" "2004" "2005" "2006" "2007" "2008" "2009" "2010" "2011" "2012" "2013" "2014" "2015" "2016" "2017" "2018" "2019" "2020" "2021" "2022"
"0" 408224.22 416591.21 406351.71 414025.12 442196.4 438346.64 418535.91 418806.71 423221.98 448137.11 448560.75 427007.88 425795.14 425383.94 447029.7 449536.02 420621.29 418238.91 425637.72 443568.15 446529.08 423453.19 420157.55 424757.92 444502.99 447841.69 432424.23 432847.83 431979.73 449654.5 447615.14 415723.88 412766.15 424229.06 436879.1 438233.91 427892.92 421834.22 413963.27 423503.63 429060.93 415901.61 420041.51 430364.41 444460.01 460134.87 437409.96 445132.88 445429.89 465981.72 462524.61 448156.05 439774.66 414051.94 447821.96 414367.03 380024.26 423764.37 415302.45 445871.32 447929.17 421701.17 418688.17 414888.59 433657.3 426290.22 415496.24 416074.39 415548.19 437149.99 432337.44 401604.35 397627.46 391811.67 404197.28 396317.76 380731.63 379494.11 384605.37 405541.75 399601.46 385724.86 375269.53 365043.84 370435.52 374990.94 380251.51 374830.5 366859.46 368474.07 365383.14 356887.82 352520.39 354595.51 358234.02 350040.7 334441.12 340496.21 272579.36 240287.6 142614.12 148252.11 167820.26 168257.55 324486.39 379948.36 364501.35 353201.09 351495.6 361366.29 360092.4 352566.5 350980.02 345716.54 349637.02 354874.31 343110.2 329585.42 319892.38 315382.07 303622.91 295588.22 291431.74 275867.2 265965.67 224589.79 248084.88 263593.06 277728.69 282653.57 347841.02 402419.76 407225.17 412303.55 410436.94 398906.48 389697.91 386944.83 384364.81 386793.19 386766.92 390303.49 391606.47 397217.7 395327.37 400297.1 403098.41 413371.35 422422.55 421362.45 417313.62 409496.76 404439.48 404415.09 405078.87 419200.87 422011.42 418279.11 393572.73 369376.35 342936.78 346844.69 352358.28 352138.96 369229.22 382021.56 381928.11 368526.87 358220.63 366991.91 370722.9 370438.8 368010.38 368378.53 366116.26 364584.16 361033.72 347652.75 340042.42 345299.62 351833.68 350416.95 349785.7 353448.11 362246.66 369153.92 364415.87 363315.71 361427.12 367527.11 371689.64 374250.88 374399.7 374759.43 378038.58 377962.8 371519.2 366272.03 365066.24 357030.66 348412.09 342270.56 334781.94 330494.81 327637.79 318872.14 324568.37
"1" 382452.09 387489.18 374295.25 366800.12 370861.27 392450.55 390450.14 374739.78 376633.77 380472.99 397552.3 398437.14 382948.46 381525.92 385800.08 400954.05 399579.73 379562.14 375847.58 381996.42 398090.03 399673.3 383720.06 382578.25 390316.38 403874.46 403729.67 393220.72 395417.62 400884.24 413022.7 406435.13 384339.81 379522.46 382248.18 395343.88 397633.1 387982.47 382947.56 377937.23 384817.69 383709.71 374249.38 374300.54 379975.99 410223.76 420779.77 396918.64 401091.3 401263.05 415993.98 415134.03 404651.59 379559.43 376513.58 393242.25 368223.55 341750.02 377243.57 375977.44 400179.77 403210.94 383878.34 381571.42 376224.32 387161.69 384267.87 377571.57 376491.69 381141 397987.27 390968.71 365852.85 361583.31 355683.15 366228.08 359457.78 344005.59 342179.15 350619.3 364111.35 359674.97 353529.13 345717.3 338786.77 345092.89 351109.85 356503.36 350944.46 340235.85 342613.49 342217.09 335360.51 331070.85 334671.47 337101.98 327376.91 316872.82 263119.58 261837.8 229139.62 135142.98 140519.34 152385.07 190598.12 308797.41 364539.28 352745.04 342107.72 340432.58 347303.38 345937.19 341125.65 339174.15 337162.59 340277.95 342353.91 331888.17 319682.93 310305.65 305896.83 294299.09 286848.26 270706.94 266068.45 259957.95 222064.35 240124.08 257623.45 270605.24 284365.95 339630.74 395451.27 399441.98 404392.51 403214.69 391523.62 383069.09 381305.69 380244.62 384115.9 385147.76 388598.73 389607.79 395494.35 393513.77 401304.62 404597.93 412265.86 420998.2 419931.79 415737.74 407538.53 402964.8 403734.25 404406.01 417957.39 420089.2 415288.76 388836.25 365120.41 340337.42 344011.7 349436.36 349331.64 366372.34 379675.69 379854.93 366118.92 355651.69 364518.97 368497.87 368471.58 366181.74 366371.26 363813.1 361982 358215.69 344884.14 337516.25 342555.08 349031.64 347594.79 348569.38 354288.33 363220.53 370080.41 365068.84 363522.89 361492.55 368087.76 372944.47 376091.03 376294.95 375861.87 379091.46 379024.12 372382.4 367482.6 366197.79 358801.3 350648.77 343587.48 335851.12 331709.47 328596.26 319928.03
"2" 351453.99 361599.34 366891.13 355939.49 353280.36 358933.29 373339.23 371233 358254.1 359727.92 362554.22 375359.04 376136.09 364248.67 364620.59 368404.25 379035.34 377454.52 361974.76 361117.94 367194.11 377428.93 378123.97 367590.1 369159.24 373995.17 382846.64 384028.87 377586.02 381064.11 383597.38 390976.32 387981.76 371969.68 369475.46 369378.57 374713.54 376815.37 368017.29 364114.77 360278.76 364142.34 364524.32 355636.96 357786.83 371746.92 390829.16 402487.99 382060.53 383923.72 384482 396676.1 394919.87 369890.17 367362.23 361075.81 372370.9 355592.55 327816.07 356348.05 358952 382180.95 385872 369684.05 367534.06 363397.82 371121.18 368140.64 362810.22 361485.58 367680.26 381677.86 376225.9 353421.59 347460.41 341241.21 349626.31 344786.97 332908.52 328613.63 336921.95 348628.89 345413.58 343980.06 338480.4 333137.5 338464.5 342557.8 347769.85 342657.96 333071.4 335952.39 335058.36 329169.83 324483.68 327744.86 331002.27 322936 254415.46 262385.66 259423.75 226482.01 134096.48 135205.83 182368.08 189855.88 306876.87 362285.73 351746.6 341959.31 339046.55 344223.58 344035.32 339984.93 338539.27 335070.2 336502.1 339246.5 329673.65 317945.61 308030.73 303340.84 292065.14 273117.93 267910.37 262215.71 258610.95 219645.02 238955.95 258503.64 282183.57 284510.99 340180.76 395055.19 398975.18 404080.56 402465.22 390387.07 382429.97 381727.71 381697.06 386223.92 386917.18 389856.65 390916.59 396972.34 397433.1 405225.97 406027.77 413045.35 421500.47 420429.03 415714.5 407416.35 403950.65 405180.02 405133.99 418200.72 419532.25 414923.65 390819.26 368548.61 343466.47 347086.16 352573.77 352435.01 369598.6 382786.7 382412.12 368233.5 357619.31 366788.32 371109.18 371264.17 368396.24 368100.11 365558.68 363412.66 359564.95 346223.53 338825.72 343693.72 350172.67 349139.21 350344.21 356102.76 365232.36 372082.92 366823.8 364858.43 362716.51 369571.18 374503.94 377515.31 377531.93 377684.02 381060.29 380750.51 373756.75 368732.16 368465.84 361293.57 352130.45 343935.3 336626.5 333019.22 329494.76
"3" 337733.12 336540.07 346509.14 350484.05 343661.65 344411.33 349793.79 359701.96 357354.61 346002.79 347257.81 350483.86 358237.12 359248.94 352390.81 353174.39 355808.61 362275.41 359927.78 350633.43 353057.84 356326.78 361226.56 362113.88 357668.47 359186.61 361634.03 367172.41 369836.17 367966.48 369639.56 370906.02 375648.35 373111.06 365903.37 361017.42 354831 359176.44 359507.63 352027.3 350736.76 349603.18 350973.94 348101.09 343185.22 352088.97 358917.84 377304.19 389142.46 371477.65 373592.24 374138.16 380321.22 360931.63 359578.29 353827.21 347987.83 359188.21 347564.35 317516.34 345566.06 353179.71 368847.95 372694.98 359017.17 355496.42 351466.79 357169.31 355774.94 352382.49 353896.92 361328.37 370584.82 367103.53 345404.55 339598.34 335587.45 339668.49 335360.04 327312.5 330068.21 337350.47 336978.88 334828.14 338629.12 334774.21 330525.97 335063.29 337336.72 342389.6 338912.29 330490.94 332956.33 331151.84 326062.55 321852.61 324957.77 329394.67 261362.06 255559.52 262430.73 259496.87 227230.32 131628.83 164111.88 182668.05 190787.42 307011.93 362238.36 353062.01 342526.28 338783.43 343612.22 343477.76 340599.63 338525.16 333387.15 334660.1 337874.38 329085.94 317259.54 306780.07 302186.4 278891.12 271989.34 266351.69 262231.76 256500.89 219035.73 239798.21 269840.35 283091.53 285643.78 340170.23 395160.87 399325.64 404407.75 402502.47 390333.13 383457.23 383688.51 384178.12 388430.37 388533.8 391529.39 392892.65 401288.51 401682.92 407094.36 407036.71 413675.63 422049.84 420743.34 415758.42 407863.73 405134.92 406085.13 405436.58 417989.83 419986.48 416712.43 392886.19 370443.1 345257.27 348957 354453.8 354051.69 371046.71 384031.14 383125.55 368579.44 358017 367591.64 372208.75 372148.39 368952.6 368586.07 365997.62 363721.44 359740.32 346260.37 338982.97 343708.93 351091.23 351312.27 352487.02 358373.42 367759.7 374649.09 369136.22 367541.47 365818.27 372539.12 377133.85 379796.02 380116.68 380529.37 384158.29 383840.83 376256.91 371402.49 371352.35 363843.91 354533.9 346611.37 339347.2 335628.17
"4" 331575.93 325218.87 328983.87 334947.47 338829.56 338416.86 340104.75 343776.46 350264.6 346967.15 339015 340070.11 341544.61 345470.18 347613.95 345770.4 345632.08 346483.91 349263.12 347502.9 345461.85 347700.24 347655.11 349513.42 350961.11 351242.82 352684.41 353167.53 355887.04 360291.63 361962.25 362230.56 362537.6 363359.64 363324.77 358888.17 352028.08 347040.65 346679.98 345667.58 345788.39 346920.67 343527.91 340397.67 336816.82 341131.06 345521.76 353616.89 367859.42 379515.97 366034.48 367395.52 365883.52 350045.12 350092.82 351278.11 346803.01 342395.38 349809.2 342695.55 318692.69 341600.17 345538.92 358904.27 362494.67 355008.27 352253.65 344455.37 346363.08 346417.93 351707.86 353194.2 355880.01 362706.84 359900.12 345171.47 339707.76 331831.75 331705.87 328231.72 325899.83 328150.58 332625.9 332538.91 331339.48 335182.93 332992.39 330163.22 333986.05 334387.46 338755.18 336604.1 329344.95 331056.85 328307.88 323821.33 320146.31 324649.99 267421.82 263057.04 255900.25 263317.8 260252.05 224556.75 161560.82 164847.97 183675.44 192205.49 307792.55 362862.09 353937.28 342849.6 339265.36 343735.69 343689.88 340362.37 337575.05 332224.73 333273.48 336969.4 328229.68 316316.85 305923.63 288213.51 277632.89 270329.61 265994.52 260212.75 255639.5 219742.15 250618.07 270689.91 284172.69 285779.7 339998.06 395353.26 399858.71 404965.95 402973.63 391255.78 385534.2 386344.96 386384.89 390100.63 390271.19 393638.27 397098.27 405334.62 403631.23 408358.96 407780.36 414274.65 422655.54 421279.59 416107.32 408332.01 405791.71 406668.2 405448.67 418545.11 421939.27 419133.69 395094.43 372680.24 347513.35 351216.29 356425.49 355673.36 372659.04 385438.46 384024.1 369231.42 358820.08 368758.6 373319.42 373027.5 369736.07 369324.02 366782.57 364335.53 360130.8 346562.48 339450.55 345134.01 353345.34 353545.9 354714.55 360761.76 370485.89 377401.79 371871.46 370644.3 368468.89 374972.34 379821.71 383136.7 383621.45 383210.13 387218.5 386854.34 379283.37 375121.86 374859.02 367265.95 357683.04 349572.07 342628.55
"5" 313553.96 316768.59 320202.9 323161.66 325895.83 329095.39 332686.08 336388.25 339966.59 342624.36 337413.79 332239.51 333772.32 334990.06 335659.05 336728.29 338187.92 338920.3 339090.41 339013.25 339079.23 340052.63 341327.3 341481.49 340458.48 341603.1 344978.63 346657.34 347199.21 347261.12 350233.86 354438.91 355981.72 355628.05 353877.14 354375.51 353096.55 347192.6 340912.53 336025.07 338503.02 343232.72 342727.33 338720.72 332767.21 333393.32 335273.15 343160.28 350797.46 360591.05 370290.36 360079.79 362020.23 342549.91 340543.21 342196.23 348155.24 343757.01 338984.12 342334.56 330430.21 308812.18 334527.91 339872.91 350671.16 352924.88 348292.78 347332.98 339246.54 337094.68 332641.56 340733.25 348262.74 352202.51 356041.74 348386.88 336269.3 336132.64 329022.48 324923.13 318404.66 319825.7 325130.66 329846.04 330200.44 329652.22 333054.44 331095.61 329300.23 332352.95 331965.29 336593.91 335368.65 328894.93 329878.16 326632.34 322645.85 318582.23 264078.22 269386.4 263576.26 256820.53 266459.09 258733.94 278293.93 162612.95 165885.67 184874.98 193802.67 308855.69 363366.68 354767.06 343492.59 339961.42 344086.07 343287.77 339569.26 336939.02 331258.56 332093.41 336166.76 327426.44 315549.77 292226.33 286882.17 275807.27 270278.58 264089.3 259729.91 256251.18 229368.63 251704.67 271817.4 284356.46 285718.41 340142.54 395907.49 400476.09 405329.43 403825.86 393076.59 388234.33 388755.49 388017.11 391811.02 392423.88 398018.87 400953.54 406937.6 404879.63 409224.8 408449.75 414981.22 423488.89 421997.64 416575.53 408396.87 406116.46 406983.73 406628.95 420716.77 423770.71 420783.78 396714.57 374440.77 349243.24 353146.89 358568.1 357721.64 374656.97 387261.51 385450.19 370478.11 360196.55 370006.87 374395.53 374167.16 370761.96 370371 367886.3 365186.17 360826.92 347237.37 340578.61 346926.36 355292.2 355472 356630.56 362920.15 372994.08 380154.74 374129.78 372819.67 370817.24 376491.89 381739.98 386095.05 386962.08 386433.36 389970.06 389401.96 381675.59 377572.2 377403.44 370182.78 360779.61 352546.59
"6" 306853.23 308912.58 312757.01 315729.6 318443.7 320061.37 324002.92 329896.21 333669.65 336886.39 336371.17 330223.69 326969.87 328617.25 329962.61 329829.37 330263.23 332369.5 333054.49 333069.03 333777.89 334018.94 334690.66 336158.49 336536.68 335129.81 336026.91 339701.18 341935.99 342653.7 342586.92 345266.27 349083.72 350123.7 350114.42 348436.55 348513.24 348577.51 343124 335548.7 332875.21 336274.72 339336.98 338918.81 335574.16 334634.74 329510.83 333701.58 342169.3 349117.18 358659.35 368161.19 356628.84 340664.53 337937.82 335963.94 339054.16 345984.45 341958.66 336585.65 340134.28 328876.5 304746.68 328532.14 335053.78 344581.34 346947.72 343807.95 343356.18 334881.78 332049.63 329901.25 337512.68 344514.07 349514.33 350914.92 344549.95 333945.75 333446.33 327272.29 328084.57 321132.39 317613.23 323481.17 328489.06 328481.38 328117.31 331502.09 330516.02 329641.68 332759.97 331485.05 335164.62 334532.32 328866.72 329631.67 325812.86 321451.92 261197.09 266741.49 270153.14 264448.84 259858.01 265382.68 325163.75 279987.49 164070.03 166984.94 186228.45 195579.04 310722.32 364706.46 355846 344271.41 340913.61 344351.55 342793.72 339018.29 336437.9 330490.58 331093.69 335514.58 326759.7 301316.86 291113.68 284861.4 275590.35 269595.42 265054.99 261527.77 268171.24 230909.38 253425.77 272015.65 284317.51 285817.83 340388.66 396402.43 401023.36 406004.2 405379.56 395435.79 390500.06 390477.25 389639.71 393874.36 396494.2 401500.06 402227.19 407958.31 405789.44 410003.46 409381.07 416061.66 424395.72 422729.5 416602.36 408064.76 406082.85 408248.05 408504.69 422143.81 425047.18 422046 398089.33 375888.51 351027.36 355199.37 360512.64 359539.06 376506.41 389076.55 386967.02 371834.01 361291.95 370700.88 374922.43 374719.83 371265.27 370880.06 368385.71 365511.43 361045.34 348274.5 342342.27 348726.54 357255.29 357437.24 358670.55 365204.55 375465.47 382384.33 376412.98 375030.85 372667.03 379198.86 384876.97 388528.96 388951.75 388438.56 392044.18 391690.75 383976.69 380232.15 380206.97 372691.19 363523.54
"7" 301860.4 302555.41 305459.93 309070.63 312007.15 313612.71 314210.74 320081.02 327897.33 331559.88 331571.97 328889.83 324490.16 322632.04 324620.32 325051.25 324296.86 325127.48 327357.56 328289.55 328615.13 329502.65 329644.45 330185.7 331771.78 331570.06 330761.54 332123.91 335458.84 338283 338152.61 337860.75 340952.63 343923.01 345323.28 344888.88 343322.21 344481.12 344698.35 339539.71 332527.17 329592.76 332342.9 335756.06 336429.69 336733.69 328814.99 327405.36 333160.97 341972.89 348606.67 356601.91 365384.91 336975.14 337273.42 333826.1 332142.16 336773.31 344792.38 340946.95 335017.79 337397.82 326648.49 301393.63 323152.88 329614.38 340568.93 344190.39 340043.94 340166.49 334253.16 331125.49 328461.62 335211.16 341534.24 346676.43 348181.98 343755.52 332375.77 331641.16 326091.94 326221.28 319239.64 316277.35 322681.59 327483.91 327269.28 327026.05 330299.18 330289.22 328859.01 333677.81 332848.79 334122.65 334094.89 328571.32 329006.91 324812.81 263663.09 264319.61 268154.83 271168.37 267273.37 256829.6 331249.53 326286.15 281874.45 165755.94 168273.84 187683.33 196749.88 311887.79 366204.38 357001.23 345217.42 340999.15 343703.8 342402.66 338507.5 335996.22 330081.22 330354.9 334663.41 311946.91 300204.43 289412.61 284448.32 273690.84 268263.03 265354.85 273761.22 269705.64 232434.87 253811.99 272006.24 284440.74 286057.61 340439.33 396539.25 401848.66 407353.96 407343.86 397452.04 392187.06 392195.8 391590.77 397877.13 399998.89 402737.33 403034.67 408705.74 406569.28 410867.69 410518.59 417193.75 425383.08 423135.07 416298.86 407488.5 405518.27 408485.87 409388.91 422911.1 425824.61 422946.47 399034.25 377216.48 352516.83 356461.86 361648.17 360689.7 377827.59 390438.52 388073.41 372535.36 361797.65 370999.61 375037.78 374883.39 371345.35 370981.83 368563.34 365598.23 362025.49 350183.83 344149.12 350588.48 359252.08 359488.72 360763 367682.69 377979.55 384193.92 377933.39 376518.68 375007.09 381987.98 387212.33 391039.21 390693.83 389247.26 393637.95 393756.13 385935.73 382539.26 382583.26 375270.47
"8" 296638.64 298052.6 299734.08 302247.14 305991.04 308104.51 308553.63 309158.79 316858.6 326494.25 327551.42 325233.15 322758.55 319577.96 319234.52 321168.54 320904.42 320049.16 320823.81 323303.51 324751.75 325131.87 325994.84 325912.28 326205.84 328125.07 328856.52 328463.15 329097.81 332058.51 334329.65 334310.83 334666.73 336749.88 339614.15 341524.88 341568.39 340578.44 340985.64 341124.81 334508.75 327308.89 326044.76 328713.28 333270.39 338769.91 332887.92 326606.31 326054.32 333163.87 338688.93 343859.21 353844.4 345692.81 334760.07 334263.29 331083.02 329700.61 335257.51 344217.54 338083.15 331334.98 334794.97 324934.04 298442.9 322849.24 330972.73 339009.31 342004.89 336999.61 333670.9 327595.9 328211.08 327686.04 333436.63 338719.76 344778.03 346633.14 343520.31 331448.59 329324.72 324179.52 324526.08 318062.65 315629.32 322184.13 326827.47 326256.71 326086.08 329297.83 328877.68 326953.94 331779.14 331560.45 333224.65 333449.58 328053.71 329119.89 267422.61 267001.74 266127.14 269834.18 274308.42 264222.01 320392.53 332265.12 327589.29 284039.58 167481.61 169525.78 188234.21 197106.33 313127.11 367808.48 358304.22 345533.8 340544.42 343244.8 342118.93 338157.5 335393.28 329481.75 329689.28 319652.44 310817.21 298351.06 289333.89 282389.96 273228.35 269459.66 277413.23 275552.03 271553.31 232801.21 253906.71 272121.09 284663.04 286141.64 340530.31 397229.26 403331.81 409090.51 408934.13 398930.92 393876.88 394191.5 395540.83 401338.79 401198.05 403547.55 403609.53 409330.62 407678.41 412164.88 411724.69 418435.94 426127.38 423301.58 415816.52 409357.44 407994.49 408870.94 409589.6 423133.65 426198.3 423376.01 399808.31 378420.69 353632.55 357296.29 362421.92 361557.66 378949.01 391638.36 388906.99 373377.75 362865.31 371901.69 375814.41 375689.57 372044.31 371757.89 369494.42 366958.34 363896.17 352098.34 345994.63 352461.94 361296.6 361558.2 362703.85 369774.08 380253.89 386391.18 379744.26 378413.48 377436.53 384272.09 389568.39 392983.74 392036.73 391143.07 395411.8 394482.41 387302.29 384796.44 384626.82
"9" 289057.31 294246.18 295820.86 297091.88 299537.22 302208.39 303365.74 304064.28 304724.46 314176.96 322979.86 321741.14 319665.4 317334.43 315404.72 316277.98 317644.15 317200.44 316599.8 317334.37 319720.37 321394.92 322154.79 322918.3 322502.01 324089.87 326810.73 327044.72 326863.42 326702.65 329343.06 332025.6 331846.83 331508.94 333222.75 337374.87 339653.25 339265.7 338196.92 337613.03 335667.65 330228.74 325009.1 322741.74 325927.15 338020.52 337681.68 331418.81 324873.85 324984.31 331426.28 336614.94 342309.02 334468.34 343624.76 331964.35 331275.6 329131.61 327816.1 334169.21 342768.55 336276.12 329746.66 332498.11 323458.41 302806.93 325971.75 329027.03 337850.76 340400.72 337018.54 334571.37 325819.97 325727.59 327203.36 339276.35 343679.01 343529.46 345439.29 343699.93 332529.44 329097.22 322674 323717.68 317754.97 315232 321934.46 326320.15 325447.84 325393.55 329003.87 328097.69 325250.55 331556.52 331817.71 332633.97 333038.73 328638.38 270984.68 270671.71 269013.82 268148.55 273482.15 269670.09 327708.17 321638.82 333465.24 328950.5 286190.8 169257.09 170760.3 188782.52 197568.31 314491.42 369508.34 358769.82 345042.62 340053.95 342799.66 341914.51 337840.94 334792.73 328886.75 314659.78 318341.57 309061.83 298326.09 287661.47 281857.54 274366.6 281958.18 279165.42 277434.14 271989.73 232879.36 254057.94 272328.65 284725.56 286263.86 341035.97 398411.25 405198.95 410664.81 410140.92 400409.69 395891.21 398348.18 399312.41 402748.72 401959.92 404106.08 404102.62 410191.92 409041.88 413407.78 412902.47 419332.27 426498.42 423142.36 417874.25 411741.85 408081.79 408630.97 409305.56 423010.82 426168.26 423662.88 400452.57 379223.5 354319.55 357784.6 362957.18 362260.6 379918.49 392576.24 389468.36 373920.38 363575.35 372501.33 376283.7 376154.13 372520.98 372420.37 370924.93 368869.27 365740.96 354000.25 347824.52 354406.08 363408.74 363567.59 364311.46 371005.81 381923.77 388302.52 381687.6 380261.59 379347.6 386492.03 391183.71 394095.02 393417.25 392927.49 396663.2 396031 389610.29 387208.94
